,artist_name,track_name,popularity,duration_s,key,mode,tempo,valence,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,music_genre
29,QUIX,All I Have (feat. Aviella),53.0,247.14925623252554,C,Major,144.062,0.21,0.123,0.756,0.843,0.0339,0.129,-4.726,0.0605,Electronic
30,Flosstradamus,From The Back,34.0,186.203,B,Major,84.444,0.384,0.0466,0.537,0.797,0.0,0.21228892039500386,-5.328,0.07484926650825773,Electronic
31,AC Slater,Bass Inside,54.0,264.0,F#,Major,126.007,0.464,0.00112,0.905,0.838,0.048728425846798123,0.608,-6.838,0.0499,Electronic
32,Türküm,Someone,33.0,151.475,F,Minor,122.089,0.306,0.103,0.581,0.915,1.08e-05,0.0923,-4.828,0.0712,Electronic
33,Nitti Gritti,Drive,33.0,172.143,D,Major,125.919,0.2,0.261,0.811,0.759,4.96e-05,0.191,-2.86,0.226,Electronic
34,Ulrich Schnauss,On My Own,32.0,403.493,B,Major,139.842,0.241,0.129,0.391,0.647,0.14616024249590212,0.358,-10.586,0.0389,Electronic
35,Gammer,Beam of Light,35.0,207.529,G,Minor,169.995,0.153,0.00419,0.524,0.789,0.0033299999999999,0.198,-4.452,0.158,Electronic
36,Flux Pavilion,Pull the Trigger - Mati Remix,33.0,223.652,A#,Minor,159.21200000000002,0.258,0.0421,0.329,0.662,0.0,0.0321,-7.645,0.119,Electronic
37,Quantic,Cumbia Sobre el Mar (feat. Nidia Gongora),36.0,374.445,C,Major,84.475,0.643,0.0796,0.61,0.606,0.338,0.108,-8.085,0.0565,Electronic
38,Moby,Inside,35.0,288.6,D,Major,95.02799999999999,0.0399,0.843,0.552,0.256,0.17045934623306086,0.106,-17.753,0.0306,Electronic
39,El Mundo,Can You See What I See,49.0,400.0,A#,Minor,108.006,0.186,0.0307,0.802,0.702,0.1248961264357864,0.0936,-8.503,0.0804,Electronic
40,The Prodigy,Your Love,26.0,362.667,B,Major,136.903,0.515,0.0128,0.669,0.871,0.11150035361399097,0.0954,-4.642,0.0362,Electronic
41,Hercules & Love Affair,Rejoice (feat. Rouge Mary),27.0,311.823,G,Major,120.81563625318256,0.529,0.011,0.703,0.569,0.026,0.123,-7.888,0.0438,Electronic
42,Bonobo,Ibrik,64.0,350.055,F,Minor,108.55385209157106,0.0867,0.257,0.738,0.512,0.12394797360522286,0.0824,-12.924,0.0668,Electronic
43,empty_field,Never Let You Go (feat. Sofia Reyes),67.0,162.538,C#,Major,165.075,0.643,0.192,0.67,0.672,5.13e-05,0.0926,-3.469,0.0923,Electronic
44,Kayzo,More Than Ever,37.0,263.164,G,Minor,159.993,0.324,0.00245,0.493,0.961,0.166,0.129,-4.689,0.161,Electronic
45,François de Roubaix,Les dunes d'ostende (Original Motion Picture Soundtrack),29.0,136.562,C,Minor,111.7608506885237,0.159,0.69,0.305,0.364,0.252,0.361,-12.858,0.0273,Electronic
46,Paul Oakenfold,Lonely Ones - Daniel Davoli Ibiza Remix,29.0,373.192,F#,Minor,124.0,0.449,0.142,0.735,0.704,0.242,0.113,-7.552,0.0428,Electronic
47,Cut Copy,Counting Down,54.0,230.787,C#,Minor,110.022,0.689,0.396,0.586,0.856,0.00836,0.0895,-5.241,0.0432,Electronic
48,RL Grime,Era,50.0,249.6,B,Major,149.85399999999998,0.124,0.0049,0.449,0.963,0.09,0.227,-2.041,0.0734,Electronic
49,DJ Snake,Talk,58.0,237.96,G,Major,118.08200000000001,0.277,0.0074,0.647,0.817,0.0,0.124,-4.466,0.0814,Electronic
50,Boogie T,Senpai (HE$H x Bommer Remix),36.0,198.4,D,Major,150.005,0.227,0.0248,0.756,0.904,0.104,0.337,-2.368,0.11856501004076654,Electronic
51,RJD2,Clean Living,35.0,235.42702095872818,D,Minor,102.95299999999999,0.486,0.0695,0.756,0.525,0.09573947189119361,0.0716,-10.441,0.067,Electronic
52,Armen Miran,Inevitable Ending - Viken Arman & Goldcap Remix,37.0,251.25518843757584,A#,Minor,100.00200000000001,0.0751,0.00161,0.889,0.48,0.13707204311274793,0.0514,-12.38,0.0747,Electronic
54,ARMNHMR,ARMNHMR & Nolan van Lith - Alone (Soar Remix),33.0,246.866,E,Minor,140.232,0.11,0.116,0.407,0.534,0.00117,0.111,-3.41,0.0337,Electronic
55,Floex,Wednesday (Is The New Friday),31.0,341.253,A#,Major,130.019,0.218,0.353,0.602,0.556,0.14414357478892206,0.113,-11.19,0.0326,Electronic
57,empty_field,Bootleg Fireworks (The Rebirth),30.0,243.38,E,Major,142.009,0.144,0.0323,0.626,0.794,0.0346,0.601,-5.18,0.202,Electronic
58,Apashe,Majesty,65.0,267.75,A#,Minor,80.087,0.286,0.0351,0.559,0.805,0.00125,0.122,-3.54,0.0703,Electronic
59,Jean-Michel Jarre,"Oxygene, Pt. 1",41.0,460.64,G,Minor,173.19400000000002,0.0351,0.772,0.0822,0.297,0.186,0.25,-15.023,0.0398,Electronic
60,Barely Alive,Rampage,38.0,238.4,C#,Major,150.026,0.544,0.000233,0.663,0.965,0.0126,0.328,-1.788,0.0826,Electronic
61,Zuma Dionys,As Time Goes By,46.0,469.0,D,Major,101.99600000000001,0.465,0.0906,0.832,0.599,0.15452703912722085,0.0408,-11.718,0.0695,Electronic
62,Taska Black,Where We Go,52.0,210.0,G#,Major,160.058,0.0883,0.053,0.291,0.686,0.000262,0.143,-5.7,0.0435,Electronic
63,Tropkillaz,Boa Noite,50.0,168.008,D,Minor,80.00399999999999,0.253,0.00564,0.606,0.862,0.04059709848777311,0.171,-3.718,0.0609,Electronic
64,Doves,There Goes The Fear,53.0,414.08,F,Major,109.99700000000001,0.509,8.6e-05,0.499,0.975,0.0721,0.0258,-4.504,0.0538,Electronic
65,Flying Lotus,Getting There,46.0,109.353,C#,Major,163.80100000000002,0.1,0.149,0.18,0.719,0.00037,0.131,-5.789,0.0993,Electronic
66,RJD2,F.H.H.,33.0,271.36,A#,Minor,91.62700000000001,0.574,0.0257,0.733,0.874,1.5e-06,0.22,-6.63,0.231,Electronic
68,empty_field,MTRD,35.0,255.0,B,Minor,127.977,0.25,0.0017699999999999,0.682,0.879,0.385,0.0872,-4.709,0.0535,Electronic
69,Blur,Badhead - 2012 Remaster,38.0,205.773,G,Major,111.079,0.45,0.0535,0.543,0.616,0.000335,0.555,-8.711,0.0266,Electronic
70,Bro Safari,Drama (Party Favor Remix),40.0,186.594,C#,Major,124.18687403385418,0.228,0.0671,0.704,0.936,0.000975,0.0806,-3.149,0.0913,Electronic
71,Thievery Corporation,Waiting Too Long (feat. Notch),37.0,242.154,B,Major,78.08,0.663,0.334,0.779,0.411,0.02,0.0443,-8.479,0.0484,Electronic
72,Bear Grillz,Going Down (Under),38.0,208.017,F#,Minor,150.02200000000002,0.187,0.0141,0.573,0.988,0.0692,0.343,-2.537,0.0833,Electronic
73,Art Of Noise,Moments In Love,47.0,220.4040640456309,A,Major,138.118,0.489,0.28,0.696,0.234,0.0511,0.311,-14.991,0.112,Electronic
74,Ray Volpe,Sell Out,36.0,208.0,B,Major,149.998,0.0704,0.00265,0.601,0.972,0.000179,0.226,-1.36,0.135,Electronic
75,The Prodigy,We Live Forever - Teddy Killerz Remix,46.0,238.605,F#,Major,171.983,0.403,0.00262,0.569,0.984,0.000337,0.639,-1.82,0.11547265615746836,Electronic
77,3LAU,Touch - Zeds Dead Remix,44.0,189.045,G,Major,140.03,0.315,0.0571,0.66,0.789,1.69e-05,0.102,-4.892,0.0642,Electronic
78,San Holo,I Still See Your Face - Wildfire Remix,37.0,252.95849085135282,G#,Major,149.96200000000002,0.405,0.087,0.376,0.804,0.02,0.215,-7.193,0.0464,Electronic
79,Jon Hopkins,C O S M,52.0,428.44,C#,Minor,106.975,0.243,0.309,0.433,0.449,0.1597937555941166,0.0792,-14.983,0.102,Electronic
80,Kerala Dust,Nevada,50.0,363.095,G#,Major,98.84412951347562,0.364,0.615,0.913,0.141,0.0881855222509347,0.084,-14.659,0.105,Electronic
81,Evil Nine,Hired Goons,35.0,344.4,B,Minor,126.97,0.742,0.00207,0.765,0.493,0.050544990932901934,0.0966,-6.834,0.0422,Electronic
82,empty_field,Gabriel,32.0,257.947,B,Minor,72.863,0.173,0.173,0.228,0.537,0.00472,0.0673,-9.134,0.0435,Electronic
83,Tricky,Wait For Signal,37.0,185.907,C,Major,121.073,0.442,0.43,0.861,0.539,0.122,0.119,-11.271,0.0632,Electronic
84,Flunk,Play,34.0,243.813,C,Major,157.053,0.13,0.0471,0.518,0.659,2.81e-06,0.121,-7.249,0.0308,Electronic
85,Bibio,Fix This Thang,30.0,234.307,G,Major,111.97,0.388,0.209,0.692,0.699,0.11703897333048319,0.117,-9.356,0.0707,Electronic
86,JayKode,Wasted (feat. Marco Foster),30.0,195.097,E,Minor,77.455,0.333,0.0309,0.493,0.891,1.35e-06,0.128,-2.269,0.0454,Electronic
87,12th Planet,Sooo Sick,31.0,154.4,C#,Major,112.46799999999999,0.0965,0.000146,0.558,0.903,0.00316,0.104,-2.329,0.09098668893240135,Electronic
88,Thievery Corporation,Road Block,37.0,216.52,C#,Minor,146.971,0.875,0.149,0.878,0.567,0.0133,0.343,-8.294,0.084,Electronic
89,JiKay,Roses - Jengi Remix,32.0,238.56,F,Minor,125.00399999999999,0.557,0.16,0.792,0.679,0.0002379999999999,0.111,-7.271,0.0587,Electronic
90,!!!,Get That Rhythm Right,39.0,223.77203114749787,G,Major,120.022,0.961,0.0382,0.832,0.798,0.104,0.098,-7.418,0.0475,Electronic
92,Daft Punk,Lose Yourself to Dance,71.0,353.893,A#,Minor,100.163,0.674,0.0839,0.832,0.659,0.00114,0.0753,-7.828,0.057,Electronic
93,Bassnectar,Above and Beyond,32.0,237.037,G,Minor,80.939,0.134,2.95e-05,0.388,0.795,0.07946000220473173,0.0854,-3.642,0.0346,Electronic
95,BROHUG,If I'm Wrong,50.0,216.96,C#,Major,124.944,0.558,0.0217,0.838,0.963,0.000488,0.254,-3.783,0.15,Electronic
96,Digitalism,Jet,40.0,366.601,C,Minor,124.99799999999999,0.153,0.00182,0.657,0.55,0.1402576419009611,0.0416,-10.651,0.0342,Electronic
97,Diskord,Release Me,27.0,265.352,F,Minor,127.85670365231249,0.291,0.00695,0.536,0.823,9.14e-05,0.168,-3.528,0.0538,Electronic
98,Bassnectar,Cozza Frenzy,34.0,224.348,C#,Major,138.094,0.233,0.000348,0.521,0.961,0.11729870267741127,0.118,-5.84,0.0439,Electronic
99,The Prodigy,Skylined,22.0,358.067,A#,Minor,140.012,0.105,0.0335,0.615,0.987,0.18642443399043154,0.44,-8.919,0.0908,Electronic
100,empty_field,Nerf This,37.0,207.043,C,Major,75.03,0.192,0.00326,0.685,0.761,0.383,0.099,-2.584,0.0616,Electronic
101,Björk,Mutual Core,27.0,306.4,G#,Minor,119.917,0.135,0.514,0.423,0.357,1.67e-06,0.485,-9.759,0.0592,Electronic
102,Hraach,Una Mattina - Original Mix,37.0,368.488,B,Minor,116.006,0.352,0.307,0.808,0.48,0.174899196570136,0.0833,-15.28,0.0618,Electronic
104,Thievery Corporation,Exilio - Exile,37.0,183.0,A,Minor,106.045,0.76,0.765,0.878,0.807,0.257,0.161,-8.507,0.12,Electronic
105,graves,Need You,30.0,202.48,D#,Minor,120.81,0.2,0.106,0.338,0.775,0.0017,0.0996,-5.547,0.0411,Electronic
106,Hudson Mohawke,Play N Go,40.0,231.779,F,Minor,118.04299999999999,0.639,0.0417,0.776,0.703,0.03854441594366284,0.645,-7.803,0.0925,Electronic
107,Oceanvs Orientalis,Ege,40.0,369.662,F,Minor,95.036,0.649,0.276,0.718,0.655,0.1276693479110199,0.107,-10.731,0.0331,Electronic
108,Gramatik,I'm Doin' My Thang,35.0,240.43671765020457,C#,Major,92.759,0.635,0.00468,0.657,0.884,0.0922,0.242,-6.721,0.08111079140812627,Electronic
109,josh pan,Jugg (feat. Bbno$),40.0,175.681,A,Major,100.051,0.439,0.0188,0.761,0.936,0.0171,0.339,-2.446,0.241,Electronic
110,The Chemical Brothers,The Golden Path,46.0,287.44,D,Major,135.982,0.551,0.263,0.642,0.83,0.0032,0.0839,-5.903,0.0336,Electronic
111,Shakarchi & Stranéus,Marcy Son What,47.0,221.64285028311068,D,Major,127.98100000000001,0.732,0.639,0.725,0.449,0.0776655902846411,0.193,-13.603,0.0337,Electronic
112,Wooli,Briddim Bomb,38.0,211.2,C,Major,74.97,0.106,0.022,0.578,0.974,0.000178,0.0938,-2.999,0.09186282019745713,Electronic
113,Zero 7,End Theme - Herberts Chop Dub,31.0,306.382,D,Major,118.22221589575317,0.895,0.127,0.848,0.659,0.393,0.0743,-8.444,0.0475,Electronic
114,David Hohme,Fear Less [ABGT189] - Jody Wisternoff Remix,32.0,313.098,F,Minor,122.54799999999999,0.285,0.000256,0.648,0.591,0.1377367997060119,0.0831,-10.573,0.0348,Electronic
115,Seven Lions,Rush Over Me (EFL099),28.0,267.256,A,Minor,135.047,0.363,0.0461,0.481,0.783,0.0,0.547,-6.638,0.079,Electronic
116,Getter,Something New,45.0,242.667,F#,Minor,90.01700000000001,0.122,0.0551,0.67,0.702,0.103,0.341,-2.143,0.0941,Electronic
117,Little Dragon,Sweet,38.0,220.79411470715385,F#,Major,106.993,0.813,0.00025,0.755,0.616,3.43e-05,0.0548,-7.518,0.0325,Electronic
118,Alison Wonderland,Cold,42.0,212.794,F#,Minor,140.977,0.532,0.0157,0.478,0.785,0.0657,0.0695,-5.437,0.159,Electronic
120,Big Gigantic,Wide Open (feat. Cherub),30.0,280.32,G,Major,124.946,0.859,0.00409,0.76,0.952,6.01e-05,0.0649,-2.132,0.141,Electronic
121,Flosstradamus,Rollup - Baauer Remix,44.0,191.041,G#,Major,165.107,0.74,0.212,0.602,0.969,0.46,0.1882702110997896,-3.163,0.08386673122140485,Electronic
122,Jamiroquai,You Give Me Something,59.0,219.25241212193495,G,Major,119.63,0.579,0.0265,0.639,0.69,0.000551,0.146,-10.047,0.264,Electronic
123,Vincent,Jinx,32.0,201.6,B,Major,126.16285717370472,0.263,0.00968,0.524,0.735,0.00464,0.0747,-6.837,0.0507,Electronic
124,The Prodigy,Wild Frontier - KillSonik Remix,22.0,327.429,G,Major,140.028,0.0377,0.00372,0.405,0.796,0.0378,0.0881,-6.436,0.104,Electronic
125,k?d,A.I.,40.0,209.455,B,Minor,109.98899999999999,0.167,0.000707,0.791,0.845,0.028826574004846617,0.361,-2.071,0.0869,Electronic
126,The Prodigy,Get Your Fight On,27.0,218.76,G,Major,163.90400000000002,0.3,0.000109,0.134,0.987,0.403,0.375,-3.761,0.0966,Electronic
127,DROELOE,Bon Voyage,49.0,243.61189022962785,D,Major,139.942,0.182,0.098,0.654,0.556,0.0524,0.118,-5.653,0.0435,Electronic
128,empty_field,Krack,37.0,323.853,A#,Minor,112.839,0.507,0.185,0.619,0.953,0.08758189453249587,0.085,-3.425,0.0365,Electronic
129,Aphex Twin,Mookid,32.0,231.413,C#,Major,120.04700000000001,0.412,0.548,0.69,0.418,0.12643260469940196,0.0963,-14.155,0.0416,Electronic
130,Gammer,Pigface - Dougal & Gammer Edit,39.0,254.118,F#,Major,170.005,0.426,0.00045,0.686,0.953,0.04429891191689035,0.0194,-1.86,0.282,Electronic
131,TINCUP,Lost - Original Mix,40.0,203.363,G,Major,84.506,0.299,0.176,0.366,0.946,0.0118,0.0852,-1.189,0.122,Electronic
132,Digitalism,Red Lights,36.0,219.76,C#,Minor,131.58684128169904,0.719,0.00029,0.535,0.845,0.0248,0.0797,-6.249,0.048,Electronic
133,12th Planet,Mmm Good,50.0,134.4,A#,Minor,74.882,0.106,0.0011,0.504,0.99,0.00955,0.151,-2.206,0.09606509677676715,Electronic
134,Alison Wonderland,Okay,47.0,233.624,D,Major,140.007,0.105,0.00431,0.56,0.555,0.0216,0.189,-7.089,0.0344,Electronic
135,Kompany,Last Man Standing,33.0,226.37,C#,Major,150.06,0.259,0.099,0.614,0.949,1.22e-06,0.297,-2.332,0.10358247883412332,Electronic
136,Yellow Claw,Stacks,42.0,257.128,D,Major,150.025,0.625,0.00321,0.701,0.981,0.00405,0.0599,-1.759,0.161,Electronic
137,Supergrass,Caught By the Fuzz,44.0,136.773,A,Major,161.79,0.257,0.000202,0.322,0.952,0.219,0.0671,-6.925,0.205,Electronic
138,Justice,Fire,47.0,334.225,G,Minor,113.046,0.508,0.000664,0.584,0.66,0.0,0.303,-5.91,0.0278,Electronic
139,The Presets,14U+14ME - Single Edit,45.0,210.507,A#,Minor,117.80388372338196,0.167,0.039,0.698,0.687,0.0358,0.165,-7.695,0.063,Electronic
140,San Holo,brighter days,62.0,236.719,C,Major,117.25746417675266,0.282,0.4,0.603,0.533,0.0,0.124,-6.742,0.0832,Electronic
141,Dirtcaps,Ride Or Die (feat. Kalibwoy),42.0,227.908,D,Major,154.996,0.239,0.0409999999999999,0.686,0.862,0.0,0.115,-4.322,0.0832,Electronic
142,Lonely Ulf,From the Beginning - Extended Version,38.0,519.643,G,Major,98.012,0.296,0.129,0.857,0.35,0.15725478063189027,0.107,-13.157,0.0844,Electronic
143,Archive,End of Our Days,21.0,292.196,A#,Minor,113.507,0.237,0.875,0.389,0.361,0.00229,0.133,-11.843,0.0334,Electronic
144,Datsik,Wreckless (feat. AD),32.0,190.4,D,Major,112.27799999999999,0.276,0.0364,0.64,0.937,0.0,0.183,-1.052,0.127,Electronic
145,Moby,Rushing,35.0,180.267,G,Major,124.87806610085467,0.574,0.0115,0.523,0.448,0.06326072233344013,0.0896,-10.116,0.0408,Electronic
146,Alison Wonderland,Cry - Sunny Norway Remix,29.0,219.158,C#,Major,124.83294259474859,0.575,0.023,0.694,0.653,7.01e-05,0.107,-5.553,0.0793,Electronic
147,Cut Copy,Glittering Clouds,46.0,335.653,F#,Minor,117.973,0.4,0.00894,0.706,0.616,0.515,0.195,-7.081,0.0391,Electronic
148,Seefeel,Time To Find Me (AFX Fast Mix),32.0,457.0,B,Minor,107.00200000000001,0.217,0.0112,0.707,0.48,0.18731901268485943,0.186,-14.098,0.0726,Electronic
149,NGHTMRE,Burn Out,39.0,229.6,D,Major,150.047,0.0857,0.00682,0.573,0.827,0.00296,0.663,-5.572,0.0578,Electronic
150,Gramatik,Room 3327,38.0,180.0,B,Minor,164.053,0.0797,0.0148,0.451,0.66,0.05586095592359974,0.13,-5.463,0.0382,Electronic
151,Herobust,Move Mint - 4B Remix,45.0,188.8,A,Major,75.027,0.305,0.0323,0.791,0.91,0.244,0.419,-1.993,0.11413322617070883,Electronic
152,empty_field,"T'es Ok, T'es Bath, T'es in",41.0,202.4,C,Minor,124.699,0.898,0.256,0.795,0.853,4.61e-06,0.0803,-5.75,0.0765,Electronic
153,Oski,Bad,40.0,194.801,G#,Minor,150.078,0.371,0.0613,0.558,0.742,2.24e-06,0.32,-3.732,0.113,Electronic
154,Datsik,Nuke Em,31.0,250.286,B,Major,139.944,0.622,0.000148,0.891,0.78,0.0681,0.227,-6.847,0.10264692949320371,Electronic
155,empty_field,The Mountain,40.0,272.953,D,Minor,106.014,0.155,0.00818,0.453,0.663,0.0539,0.188,-7.249,0.027,Electronic
156,Vigiland,Shots & Squats,70.0,171.799,C#,Major,127.99700000000001,0.279,0.00674,0.813,0.819,0.000423,0.225,-5.039,0.121,Electronic
157,Jamie xx,Far Nearer,53.0,410.578,C,Major,114.25262393613423,0.33,0.493,0.61,0.426,0.09690056848489967,0.108,-11.538,0.147,Electronic
158,Dillon Francis,Ven - Continuous Mix,33.0,50.472,E,Minor,114.885,0.303,0.000216,0.555,0.953,0.0594,0.2297686282088593,-4.411,0.109,Electronic
159,The Crystal Method,Hold on to Something,32.0,255.07916169553772,F#,Minor,137.947,0.242,0.0879,0.543,0.611,0.139,0.25,-7.987,0.0323,Electronic
160,Hooverphonic,Someone,28.0,251.693,G#,Major,124.788,0.0395,0.109,0.497,0.473,0.09758088688645558,0.306,-9.488,0.031,Electronic
161,múm,Cards - Live in Berlin,34.0,454.055,A,Major,112.1578034286602,0.0387,0.436,0.477,0.614,0.2298530760995441,0.0967,-15.175,0.0555,Electronic
162,Nightmares On Wax,Pudpots,33.0,222.227,B,Major,95.027,0.162,0.0378,0.818,0.663,0.10004245450657051,0.0478,-7.443,0.0731,Electronic
163,Rodrigo Gallardo,Agua de La Tierra - Nicola Cruz Remix,44.0,293.99,B,Minor,93.03200000000001,0.592,0.254,0.657,0.47,0.139,0.1,-11.241,0.06043008190494953,Electronic
164,Daft Punk,End of Line,49.0,156.48,A,Major,195.983,0.0397,0.000513,0.354,0.449,0.06372317659513385,0.344,-11.353,0.03,Electronic
165,Gramatik,Deal With The Real,32.0,241.125,C#,Minor,146.003,0.563,0.00118,0.677,0.568,0.111,0.146,-9.494,0.031,Electronic
166,The Avalanches,Frontier Psychiatrist,50.0,288.347,F#,Major,98.931,0.437,0.122,0.711,0.905,0.000166,0.395,-7.459,0.218,Electronic
167,!!!,Dear Can,33.0,277.133,F#,Major,121.88232286382683,0.881,0.0238,0.803,0.876,0.617,0.0432,-8.186,0.0385,Electronic
168,Fatboy Slim,The Rockafeller Skank - Short Edit,41.0,241.467,G,Major,152.636,0.126,0.00476,0.572,0.987,0.00679,0.348,-6.259,0.281,Electronic
169,Moby,A Dark Cloud Is Coming,24.0,324.894,D,Minor,69.99600000000001,0.228,0.891,0.532,0.484,0.09398570409395984,0.108,-7.702,0.0251,Electronic
170,What So Not,Stuck In Orbit - Luttrell Remix,27.0,378.738,A,Major,121.98,0.223,0.00286,0.604,0.573,0.00358,0.0574,-10.826,0.0307,Electronic
171,Virtual Riot,Jump The Gun,34.0,221.379,B,Major,173.995,0.0622,0.000964,0.751,0.91,0.4,0.108,-3.487,0.11392533803001341,Electronic
172,Flying Lotus,All In,39.0,257.29533293142015,G#,Minor,140.129,0.306,0.0651,0.466,0.704,0.10770126548002132,0.115,-8.887,0.0608,Electronic
174,Oceanvs Orientalis,Dance of Swords,43.0,451.282,A,Major,117.006,0.592,0.13,0.778,0.668,0.15006557977169863,0.076,-11.309,0.0843,Electronic
175,Bassnectar,Into the Sun,43.0,256.286,G,Minor,139.91,0.102,0.000574,0.398,0.848,0.189,0.135,-3.662,0.0502,Electronic
176,empty_field,Chemicals,42.0,267.168,C#,Major,123.978,0.187,0.224,0.822,0.731,0.243,0.172,-5.52,0.0493,Electronic
177,graves,VHS,26.0,196.452,E,Minor,154.0,0.435,0.118,0.557,0.971,0.000611,0.0819999999999999,-3.736,0.08437941435115233,Electronic
178,HNNY,Nothing - Original Mix,52.0,312.0,B,Minor,116.986,0.961,0.0008849999999999,0.79,0.427,0.446,0.0514,-11.361,0.0541,Electronic
179,Tchami,Superlativ,37.0,231.111,A#,Minor,135.013,0.7,0.024,0.732,0.876,0.06670531307994751,0.0672,-4.944,0.0623,Electronic
180,Cocteau Twins,Iceblink Luck,48.0,198.667,A,Major,102.01799999999999,0.458,6.11e-05,0.395,0.807,0.0121,0.321,-5.689,0.0349,Electronic
