"","Name","State","Bank","BankState","NAICS","ApprovalFY","Term","NoEmp","NewExist","CreateJob","RetainedJob","UrbanRural","RevLineCr","DisbursementGross","BalanceGross","MIS_Status","GrAppv","SBA_Appv"
"44","DANIEL P. WEYRAUCH D.D.S.","IL","PNC BANK, NATIONAL ASSOCIATION","IL",621210,"1997",84,4,1,0,0,0,"N","$100,000.00 ","$0.00 ","P I F","$100,000.00 ","$80,000.00 "
"45","CALLAHAN WHOLESALE HARDWARE, I","CA","BBCN BANK","CA",0,"1997",84,15,1,0,0,0,"0","$591,000.00 ","$0.00 ","P I F","$600,000.00 ","$450,000.00 "
"46","Vikram Marfatia MD.,PA","AR","BANK OF AMERICA NATL ASSOC","NC",621493,"2004",84,1,1,0,0,1,"Y","$55,528.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"47","Soto, Inc. dba The Whistle Sto","WA","BANK OF AMERICA NATL ASSOC","NC",722213,"2004",68,4,2,0,0,2,"Y","$10,000.00 ","$0.00 ","CHGOFF","$10,000.00 ","$5,000.00 "
"48","MW EMPLOYMENT SERVICES, INC.","IL","BANCO POPULAR NORTH AMERICA","IL",0,"1997",84,20,1,0,0,0,"N","$85,000.00 ","$0.00 ","P I F","$85,000.00 ","$68,000.00 "
"49","Automotive Paint Center, Inc.","FL","BANK OF AMERICA NATL ASSOC","NC",811121,"2004",84,1,1,0,0,1,"N","$17,267.00 ","$0.00 ","P I F","$19,000.00 ","$9,500.00 "
"50","THE ISLANDS RAW BAR & GRILL","OH","JPMORGAN CHASE BANK NATL ASSOC","IL",0,"1997",60,18,2,0,0,0,"Y","$52,914.00 ","$0.00 ","P I F","$40,000.00 ","$20,000.00 "
"51","Any Time Glass Service, Inc.","UT","ZIONS FIRST NATIONAL BANK","UT",238150,"2004",84,2,2,0,0,1,"Y","$124,910.00 ","$0.00 ","P I F","$75,000.00 ","$37,500.00 "
"52","CRIBB FOUR, INC","GA","FIRST NATIONAL BANK SOUTH","GA",0,"1997",108,10,0,0,0,0,"N","$386,500.00 ","$0.00 ","P I F","$386,500.00 ","$289,875.00 "
"53","SPANISH TRAIL SHELL","UT","WELLS FARGO BANK NATL ASSOC","SD",445120,"2006",60,8,1,0,8,2,"Y","$358,542.00 ","$0.00 ","P I F","$90,000.00 ","$45,000.00 "
"54","SMITH ANTIQUES, INC.","TX","COMPASS BANK","TX",0,"1997",69,1,2,0,0,0,"0","$125,000.00 ","$0.00 ","CHGOFF","$125,000.00 ","$93,750.00 "
"55","C ALCANTAR TRUCKING","CA","BANK OF AMERICA NATL ASSOC","NC",484220,"2004",84,1,1,0,0,1,"Y","$13,000.00 ","$0.00 ","P I F","$10,000.00 ","$5,000.00 "
"56","Medical Legal Evaluation Servi","NJ","CAPITAL ONE NATL ASSOC","VA",541618,"2004",84,1,1,0,0,1,"N","$10,000.00 ","$0.00 ","P I F","$10,000.00 ","$5,000.00 "
"57","Strategic Marketing Concepts,","MO","BANK OF AMERICA NATL ASSOC","NC",541613,"2004",84,1,2,0,0,2,"Y","$10,000.00 ","$0.00 ","P I F","$10,000.00 ","$5,000.00 "
"58","Rashid Dadabhoy and Salma Dada","CA","BANK OF AMERICA NATL ASSOC","NC",311821,"2004",84,2,2,0,0,1,"Y","$10,000.00 ","$0.00 ","P I F","$10,000.00 ","$5,000.00 "
"59","WHOLE VILLAGE TECHNOLOGY, INC.","TX","WELLS FARGO BANK NATL ASSOC","SD",443120,"1997",84,9,1,0,0,0,"0","$700,000.00 ","$0.00 ","P I F","$700,000.00 ","$525,000.00 "
"60","Action Transport LLC","UT","ZIONS FIRST NATIONAL BANK","UT",484110,"2004",84,13,1,0,0,1,"Y","$50,000.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"61","O'KEEFFE OIL CO.","ND","CIT. ST. BK AT MOHALL","ND",0,"1997",164,5,1,0,0,0,"N","$210,000.00 ","$0.00 ","P I F","$210,000.00 ","$157,500.00 "
"62","WARRAICH BROTHERS, INC.","MD","MANUFACTURERS & TRADERS TR CO","MD",0,"1997",84,10,2,0,0,0,"N","$100,000.00 ","$0.00 ","P I F","$100,000.00 ","$80,000.00 "
"63","Don's Dock, Inc.","FL","BANK OF AMERICA NATL ASSOC","NC",713930,"2004",25,4,1,0,0,1,"N","$30,000.00 ","$0.00 ","CHGOFF","$30,000.00 ","$15,000.00 "
"64","Kenneth E Dunlap Dba Dunlap Pa","IN","CAPITAL ONE NATL ASSOC","VA",238320,"2004",19,10,1,0,0,1,"N","$25,000.00 ","$0.00 ","CHGOFF","$25,000.00 ","$12,500.00 "
"65","John Asmodeo, Inc.","FL","BANK OF AMERICA NATL ASSOC","NC",442291,"2004",84,3,1,0,0,1,"Y","$80,580.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"66","Cafe Tartine, LLC","CA","BANK OF AMERICA NATL ASSOC","NC",722110,"2004",84,8,1,0,0,1,"Y","$25,000.00 ","$0.00 ","P I F","$25,000.00 ","$12,500.00 "
"67","Creative Keystone, Inc.","FL","BANK OF AMERICA NATL ASSOC","NC",327991,"2005",27,4,1,0,0,1,"N","$70,000.00 ","$0.00 ","CHGOFF","$50,000.00 ","$25,000.00 "
"68","Advantage Auto Insurance Agenc","VA","BANK OF AMERICA NATL ASSOC","NC",524210,"2005",84,8,2,0,0,2,"Y","$12,390.00 ","$0.00 ","P I F","$10,000.00 ","$5,000.00 "
"69","W.F. LARABEE & ASSOCIATES","GA","BANK OF AMERICA NATL ASSOC","GA",0,"1997",12,1,1,0,0,0,"Y","$25,000.00 ","$0.00 ","P I F","$25,000.00 ","$12,500.00 "
"70","AFFORDABLE HOME SALES","MO","UNION BANK","MO",453930,"1997",60,2,2,0,0,0,"N","$92,091.00 ","$0.00 ","P I F","$95,000.00 ","$76,000.00 "
"71","Unitex Bag, Inc.","TX","CAPITAL ONE NATL ASSOC","VA",314911,"2005",84,50,1,0,0,1,"N","$50,000.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"72","Ridgewood Nursery and Garden C","NJ","BANK OF AMERICA NATL ASSOC","NC",561730,"2005",7,4,2,0,0,1,"Y","$241,605.00 ","$0.00 ","CHGOFF","$90,000.00 ","$45,000.00 "
"73","Jih-Chin Wu dba Art Chin","CA","BANK OF AMERICA NATL ASSOC","NC",453920,"2005",84,1,1,0,0,1,"Y","$10,000.00 ","$0.00 ","P I F","$10,000.00 ","$5,000.00 "
"74","THE COUNTRY BOOKSELLER, INC.","NH","TD BANK, NATIONAL ASSOCIATION","DE",451211,"2005",60,3,1,0,0,1,"N","$45,000.00 ","$0.00 ","P I F","$45,000.00 ","$22,500.00 "
"75","Joseph and  Paula Minew Dba Bo","NY","CAPITAL ONE NATL ASSOC","VA",811111,"2005",84,7,1,0,0,1,"N","$50,000.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"76","CULLMAN BOAT REPAIR","AL","PEOPLES BANK OF ALABAMA","AL",0,"1997",120,2,1,0,0,0,"N","$55,000.00 ","$0.00 ","P I F","$55,000.00 ","$44,000.00 "
"77","Full Sail Resources, Inc.","IL","CAPITAL ONE NATL ASSOC","VA",325211,"2005",84,1,1,0,0,1,"N","$20,000.00 ","$0.00 ","P I F","$20,000.00 ","$10,000.00 "
"78","J & P Martin Construction, Inc","AR","CAPITAL ONE NATL ASSOC","VA",236220,"2005",84,5,1,0,0,1,"N","$50,000.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"79","Sutliff's Enterprises, LLC","MI","PNC BANK, NATIONAL ASSOCIATION","DE",722211,"2005",84,4,1,0,0,1,"N","$45,900.00 ","$0.00 ","P I F","$45,900.00 ","$22,950.00 "
"80","SPADE FEED MFG. CO.","OK","BANCFIRST","OK",0,"1981",120,7,2,0,0,0,"N","$200,000.00 ","$0.00 ","CHGOFF","$200,000.00 ","$180,000.00 "
"81","PERFORMANCE WHEEL OUTLET, INC.","CA","PACIFIC WESTERN BANK","CA",0,"1997",228,6,1,0,0,0,"0","$590,000.00 ","$0.00 ","P I F","$590,000.00 ","$442,500.00 "
"82","MAINTENANCE SOLUTIONS, INC.","NC","BANK OF AMERICA NATL ASSOC","NC",561790,"2005",39,2,1,0,0,1,"Y","$10,000.00 ","$0.00 ","CHGOFF","$10,000.00 ","$5,000.00 "
"83","Advanced Staffing Services, In","IL","CAPITAL ONE NATL ASSOC","VA",561310,"2005",84,60,2,0,0,1,"N","$50,000.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"84","Karen Baghdasaryan and Souren","CA","BANK OF AMERICA NATL ASSOC","NC",621210,"2005",84,6,1,0,0,1,"Y","$70,000.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"85","Pacific Coast Limousine Servic","CA","BANK OF AMERICA NATL ASSOC","NC",485320,"2005",69,15,1,0,0,1,"N","$45,000.00 ","$0.00 ","CHGOFF","$45,000.00 ","$22,500.00 "
"86","LAKELAND BAIT & TACKLE","MN","HERITAGE BANK NATL ASSOC","MN",421910,"1997",84,4,2,0,0,0,"N","$22,500.00 ","$0.00 ","P I F","$22,500.00 ","$18,000.00 "
"87","CORNER GARDENS BAR & GRILL","MO","CAPITAL ONE NATL ASSOC","VA",722110,"2005",84,2,1,0,0,1,"N","$25,000.00 ","$0.00 ","P I F","$25,000.00 ","$12,500.00 "
"88","Comprehensive Glass Company","FL","BANK OF AMERICA NATL ASSOC","NC",326191,"2005",58,15,1,0,0,1,"T","$100,010.00 ","$0.00 ","CHGOFF","$100,000.00 ","$50,000.00 "
"89","INFINAMIC, INC.","IN","PNC BANK, NATIONAL ASSOCIATION","IN",541613,"2005",60,8,1,0,0,1,"Y","$113,745.00 ","$0.00 ","P I F","$35,000.00 ","$17,500.00 "
"90","Max Transport Co.","GA","BANK OF AMERICA NATL ASSOC","NC",485999,"2005",16,3,1,0,0,1,"Y","$11,200.00 ","$0.00 ","P I F","$10,000.00 ","$5,000.00 "
"91","Dental Spa of Texas PC","TX","BANK OF AMERICA NATL ASSOC","NC",621210,"2005",84,4,2,0,0,1,"Y","$39,380.00 ","$0.00 ","P I F","$30,000.00 ","$15,000.00 "
"92","ROY & PATSY SHERROD EPC FOR SP","TX","CAPROCK BUS. FINAN CORPORATION","TX",0,"1997",240,12,1,0,12,0,"N","$506,000.00 ","$0.00 ","P I F","$506,000.00 ","$506,000.00 "
"93","SMITH'S LAWN MOWER SALES & SER","ID","KEYBANK NATIONAL ASSOCIATION","ID",0,"1997",84,9,1,0,0,0,"N","$76,500.00 ","$0.00 ","P I F","$76,500.00 ","$61,200.00 "
"94","Joseph B. Adkins, DDS","TN","CAPITAL ONE NATL ASSOC","VA",621210,"2005",84,6,1,0,0,1,"N","$35,000.00 ","$0.00 ","P I F","$35,000.00 ","$17,500.00 "
"95","Dr. Stephen M. Estner, Profess","RI","BANK RHODE ISLAND","RI",621310,"2005",84,1,1,0,0,1,"Y","$279,450.00 ","$0.00 ","P I F","$125,000.00 ","$62,500.00 "
"96","Quik Drop","TX","JPMORGAN CHASE BANK NATL ASSOC","IL",453998,"2005",84,2,2,0,0,1,"N","$46,600.00 ","$0.00 ","P I F","$46,600.00 ","$23,300.00 "
"97","LISA A BLOHM DBA SOL IMPORTS","WA","CAPITAL ONE NATL ASSOC","VA",453220,"2005",84,1,1,0,0,1,"Y","$12,300.00 ","$0.00 ","P I F","$10,000.00 ","$5,000.00 "
"98","PURCHASING SERVICES","SD","GREAT WESTERN BANK","SD",0,"1997",48,1,2,0,0,0,"N","$20,000.00 ","$0.00 ","P I F","$20,000.00 ","$16,000.00 "
"99","D'Wood Enterprises, LLC","GA","BANK OF AMERICA NATL ASSOC","NC",541350,"2005",54,1,1,0,0,1,"Y","$50,000.00 ","$0.00 ","CHGOFF","$50,000.00 ","$25,000.00 "
"100","Comertech of Miami, Inc.","FL","BANK OF AMERICA NATL ASSOC","NC",811212,"2005",45,4,1,0,0,1,"Y","$50,000.00 ","$0.00 ","CHGOFF","$50,000.00 ","$25,000.00 "
"101","BRUCE MILLER TRUCKING","MI","FIFTH THIRD BANK","OH",0,"1997",10,1,2,0,0,0,"N","$21,000.00 ","$0.00 ","CHGOFF","$21,000.00 ","$16,800.00 "
"102","Steven Salario Sandals & Acces","FL","BANK OF AMERICA NATL ASSOC","NC",316219,"2005",39,1,2,0,0,1,"T","$40,000.00 ","$0.00 ","CHGOFF","$40,000.00 ","$20,000.00 "
"103","CWD Inc","MA","BANK OF AMERICA NATL ASSOC","NC",541890,"2005",83,1,2,0,0,1,"Y","$29,750.00 ","$0.00 ","P I F","$25,000.00 ","$12,500.00 "
"104","Moshe Ben-Nissan dba Expresso","CA","BANK OF AMERICA NATL ASSOC","NC",424490,"2005",84,6,1,0,0,2,"Y","$115,091.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"105","B.K.&S., INC.","MI","COMERICA BANK","TX",713940,"1997",180,10,1,0,0,0,"N","$860,000.00 ","$0.00 ","P I F","$860,000.00 ","$404,200.00 "
"106","Civil Trans, Inc","CA","BANK OF AMERICA NATL ASSOC","NC",541330,"2005",2,4,1,0,0,1,"Y","$63,335.00 ","$0.00 ","CHGOFF","$45,000.00 ","$22,500.00 "
"107","Lourival F. Bernades dba Nick'","CA","CALIFORNIA BANK & TRUST","CA",722110,"2005",84,11,1,0,0,1,"Y","$42,890.00 ","$0.00 ","P I F","$25,000.00 ","$12,500.00 "
"108","Laura L Griswold dba Kelly's P","CT","BANK OF AMERICA NATL ASSOC","RI",424480,"2005",3,4,2,0,0,2,"N","$15,638.00 ","$0.00 ","CHGOFF","$20,000.00 ","$10,000.00 "
"109","HARMONY ENTERPRISES, INC.","DE","CITIZENS BANK NATL ASSOC","RI",812320,"2005",60,2,1,0,0,2,"N","$50,000.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"110","Alternative Burial and Cremati","OR","BANK OF AMERICA NATL ASSOC","NC",812210,"2005",13,2,2,0,0,2,"N","$11,900.00 ","$0.00 ","P I F","$10,000.00 ","$5,000.00 "
"111","C & K HEATING AND COOLING, INC","IL","CAPITAL ONE NATL ASSOC","VA",238220,"2005",84,4,2,0,0,2,"N","$50,000.00 ","$0.00 ","P I F","$50,000.00 ","$25,000.00 "
"112","Nino D. Malatesta dba NDM Cran","CT","TD BANK, NATIONAL ASSOCIATION","DE",238990,"2005",48,1,2,0,0,2,"N","$7,700.00 ","$0.00 ","P I F","$7,700.00 ","$3,850.00 "
"113","BOGUE'S LAND WORKS, ""LLC""","CT","CITIZENS BANK NATL ASSOC","RI",561730,"2005",48,1,1,0,0,1,"N","$10,000.00 ","$0.00 ","P I F","$10,000.00 ","$5,000.00 "
"114","TOUCH'E HAIR DESIGN AND MASSAG","AZ","JPMORGAN CHASE BANK NATL ASSOC","IL",0,"1997",36,2,1,0,0,0,"0","$7,000.00 ","$0.00 ","P I F","$7,000.00 ","$3,500.00 "
"115","Global Financial Freedom, Inc.","CA","BANK OF AMERICA NATL ASSOC","NC",523930,"2005",84,2,2,0,0,1,"Y","$10,000.00 ","$0.00 ","P I F","$10,000.00 ","$5,000.00 "
"116","NAPERVILLE SHOE AND LUGGAGE, I","IL","WELLS FARGO BANK NATL ASSOC","SD",0,"1997",288,3,1,0,0,0,"0","$422,000.00 ","$0.00 ","P I F","$422,000.00 ","$316,500.00 "
"117","KATHY PHAM DBA LIZ NAILS","OH","CITIZENS BANK NATL ASSOC","RI",812112,"2005",29,4,1,0,0,1,"Y","$19,831.00 ","$0.00 ","CHGOFF","$5,000.00 ","$2,500.00 "
"118","EXCELL MACHINERY","CA","MORTGAGE CAP. DEVEL CORP","CA",333512,"1997",240,1,1,4,0,0,"N","$268,000.00 ","$0.00 ","P I F","$268,000.00 ","$268,000.00 "
"119","Varma Enterprises Inc. dba Fai","VA","BANK OF AMERICA NATL ASSOC","NC",447110,"2005",84,5,1,0,0,1,"Y","$100,000.00 ","$0.00 ","P I F","$100,000.00 ","$50,000.00 "
"120","Raeford Road Service Center, I","NC","CAPITAL ONE NATL ASSOC","VA",811111,"2005",57,9,1,0,0,1,"N","$150,000.00 ","$0.00 ","CHGOFF","$150,000.00 ","$75,000.00 "
"121","Dry Creek True Value","ID","D. L. EVANS BANK","ID",444130,"2005",120,4,2,0,5,2,"N","$170,300.00 ","$0.00 ","P I F","$170,300.00 ","$85,150.00 "
"122","Durham Valley Liquor Store Inc","NY","BANK OF AMERICA NATL ASSOC","RI",445310,"2005",53,2,2,0,2,1,"Y","$10,000.00 ","$0.00 ","P I F","$10,000.00 ","$5,000.00 "
"123","David Dixon dba Jung Ga Na","VA","BANK OF AMERICA NATL ASSOC","NC",722110,"2005",68,7,1,0,7,1,"T","$18,000.00 ","$0.00 ","CHGOFF","$18,000.00 ","$9,000.00 "
"124","Dora Corrigan dba Magic Automo","NV","BANK OF AMERICA NATL ASSOC","NC",811118,"2005",84,3,2,0,3,1,"Y","$11,000.00 ","$0.00 ","P I F","$10,000.00 ","$5,000.00 "
"125","TAJ Foods Inc","TX","JPMORGAN CHASE BANK NATL ASSOC","IL",722211,"2005",27,0,1,0,10,1,"N","$100,000.00 ","$0.00 ","CHGOFF","$100,000.00 ","$50,000.00 "
"126","Moftware, LLC","VA","BANK OF AMERICA NATL ASSOC","NC",423430,"2005",84,4,2,0,6,1,"Y","$5,500.00 ","$0.00 ","P I F","$5,000.00 ","$2,500.00 "
"127","AAL HOME FINANCIAL SERVICE COR","NY","CAPITAL ONE NATL ASSOC","VA",522310,"2005",84,3,1,0,3,1,"Y","$25,100.00 ","$0.00 ","P I F","$25,000.00 ","$12,500.00 "
"128","Greco Physical Therapy &  Spor","NY","BANK OF AMERICA NATL ASSOC","RI",621340,"2005",36,2,2,0,2,1,"Y","$51,000.00 ","$0.00 ","P I F","$41,000.00 ","$20,500.00 "
"129","Western Art Glass LLC","UT","ZIONS FIRST NATIONAL BANK","UT",424950,"2005",60,1,2,1,2,1,"N","$90,000.00 ","$0.00 ","P I F","$90,000.00 ","$76,500.00 "
"130","Safety Training Specialists, I","CA","BANK OF AMERICA NATL ASSOC","NC",541690,"2005",84,7,1,0,7,1,"Y","$44,634.00 ","$0.00 ","P I F","$35,000.00 ","$17,500.00 "
"131","Florida Executive Lending, Inc","FL","WELLS FARGO BANK NATL ASSOC","SD",522310,"2005",13,7,1,4,7,1,"N","$148,000.00 ","$0.00 ","CHGOFF","$148,000.00 ","$74,000.00 "
"132","Joe R. Priapi dba California G","CA","BANK OF AMERICA NATL ASSOC","NC",722320,"2005",10,5,1,0,5,1,"Y","$40,803.00 ","$0.00 ","CHGOFF","$20,000.00 ","$10,000.00 "
