"State","BankState","ApprovalFY","Term","NoEmp","NewExist","CreateJob","RetainedJob","UrbanRural","RevLineCr","DisbursementGross","MIS_Status","GrAppv","SBA_Appv","WhichCompany","yearsAfterAprv"
"Southeast","Southeast",2004,84,3,"NotNew",0,0,"Urban","Y",80580,"P I F",50000,25000,"44",18
"Pacific West","Southeast",2004,84,8,"NotNew",0,0,"Urban","Y",25000,"P I F",25000,12500,"72",18
"Southeast","Southeast",2005,27,4,"NotNew",0,0,"Urban","N",70000,"CHGOFF",50000,25000,"32",17
"Northeast","Southeast",2005,84,8,"New",0,0,"Rural","Y",12390,"P I F",10000,5000,"52",17
"Southeast","Southeast",1997,12,1,"NotNew",0,0,"Undefined","Y",25000,"P I F",25000,12500,"00",25
"Midwest","Midwest",1997,60,2,"New",0,0,"Undefined","N",92091,"P I F",95000,76000,"45",25
"Plains","Northeast",2005,84,1,"NotNew",0,0,"Urban","N",50000,"P I F",50000,25000,"31",17
"Northeast","Southeast",2005,7,4,"New",0,0,"Urban","Y",241605,"CHGOFF",90000,45000,"56",17
"Pacific West","Southeast",2005,84,1,"NotNew",0,0,"Urban","Y",10000,"P I F",10000,5000,"45",17
"Northeast","Northeast",2005,60,3,"NotNew",0,0,"Urban","N",45000,"P I F",45000,22500,"45",17
"Northeast","Northeast",2005,84,7,"NotNew",0,0,"Urban","N",50000,"P I F",50000,25000,"81",17
"Southeast","Southeast",1997,120,2,"NotNew",0,0,"Undefined","N",55000,"P I F",55000,44000,"00",25
"Midwest","Northeast",2005,84,1,"NotNew",0,0,"Urban","N",20000,"P I F",20000,10000,"32",17
"Southeast","Northeast",2005,84,5,"NotNew",0,0,"Urban","N",50000,"P I F",50000,25000,"23",17
"Midwest","Northeast",2005,84,4,"NotNew",0,0,"Urban","N",45900,"P I F",45900,22950,"72",17
"Plains","Plains",1981,120,7,"New",0,0,"Undefined","N",2e+05,"CHGOFF",2e+05,180000,"00",41
"Pacific West","Pacific West",1997,228,6,"NotNew",0,0,"Undefined","0",590000,"P I F",590000,442500,"00",25
"Southeast","Southeast",2005,39,2,"NotNew",0,0,"Urban","Y",10000,"CHGOFF",10000,5000,"56",17
"Midwest","Northeast",2005,84,1,"New",0,0,"Urban","N",50000,"P I F",50000,25000,"56",17
"Pacific West","Southeast",2005,84,6,"NotNew",0,0,"Urban","Y",70000,"P I F",50000,25000,"62",17
"Pacific West","Southeast",2005,69,15,"NotNew",0,0,"Urban","N",45000,"CHGOFF",45000,22500,"48",17
"Midwest","Midwest",1997,84,4,"New",0,0,"Undefined","N",22500,"P I F",22500,18000,"42",25
"Midwest","Northeast",2005,84,2,"NotNew",0,0,"Urban","N",25000,"P I F",25000,12500,"72",17
"Southeast","Southeast",2005,58,15,"NotNew",0,0,"Urban","0",100010,"CHGOFF",1e+05,50000,"32",17
"Midwest","Midwest",2005,60,8,"NotNew",0,0,"Urban","Y",113745,"P I F",35000,17500,"54",17
"Southeast","Southeast",2005,16,3,"NotNew",0,0,"Urban","Y",11200,"P I F",10000,5000,"48",17
"Plains","Southeast",2005,84,4,"New",0,0,"Urban","Y",39380,"P I F",30000,15000,"62",17
"Plains","Plains",1997,240,12,"NotNew",0,12,"Undefined","N",506000,"P I F",506000,506000,"00",25
"Pacific West","Pacific West",1997,84,9,"NotNew",0,0,"Undefined","N",76500,"P I F",76500,61200,"00",25
"Southeast","Northeast",2005,84,6,"NotNew",0,0,"Urban","N",35000,"P I F",35000,17500,"62",17
"Northeast","Northeast",2005,84,1,"NotNew",0,0,"Urban","Y",279450,"P I F",125000,62500,"62",17
"Plains","Midwest",2005,84,2,"New",0,0,"Urban","N",46600,"P I F",46600,23300,"45",17
"Pacific West","Northeast",2005,84,1,"NotNew",0,0,"Urban","Y",12300,"P I F",10000,5000,"45",17
"Plains","Plains",1997,48,1,"New",0,0,"Undefined","N",20000,"P I F",20000,16000,"00",25
"Southeast","Southeast",2005,54,1,"NotNew",0,0,"Urban","Y",50000,"CHGOFF",50000,25000,"54",17
"Southeast","Southeast",2005,45,4,"NotNew",0,0,"Urban","Y",50000,"CHGOFF",50000,25000,"81",17
"Midwest","Midwest",1997,10,1,"New",0,0,"Undefined","N",21000,"CHGOFF",21000,16800,"00",25
"Southeast","Southeast",2005,39,1,"New",0,0,"Urban","0",40000,"CHGOFF",40000,20000,"31",17
"Northeast","Southeast",2005,83,1,"New",0,0,"Urban","Y",29750,"P I F",25000,12500,"54",17
"Pacific West","Southeast",2005,84,6,"NotNew",0,0,"Rural","Y",115091,"P I F",50000,25000,"42",17
"Midwest","Plains",1997,180,10,"NotNew",0,0,"Undefined","N",65000,"P I F",65000,404200,"71",25
"Pacific West","Southeast",2005,2,4,"NotNew",0,0,"Urban","Y",63335,"CHGOFF",45000,22500,"54",17
"Pacific West","Pacific West",2005,84,11,"NotNew",0,0,"Urban","Y",42890,"P I F",25000,12500,"72",17
"Northeast","Northeast",2005,3,4,"New",0,0,"Rural","N",15638,"CHGOFF",20000,10000,"42",17
"Northeast","Northeast",2005,60,2,"NotNew",0,0,"Rural","N",50000,"P I F",50000,25000,"81",17
"Pacific West","Southeast",2005,13,2,"New",0,0,"Rural","N",11900,"P I F",10000,5000,"81",17
"Midwest","Northeast",2005,84,4,"New",0,0,"Rural","N",50000,"P I F",50000,25000,"23",17
"Northeast","Northeast",2005,48,1,"New",0,0,"Rural","N",7700,"P I F",7700,3850,"23",17
"Northeast","Northeast",2005,48,1,"NotNew",0,0,"Urban","N",10000,"P I F",10000,5000,"56",17
"Pacific West","Midwest",1997,36,2,"NotNew",0,0,"Undefined","0",7000,"P I F",7000,3500,"00",25
"Pacific West","Southeast",2005,84,2,"New",0,0,"Urban","Y",10000,"P I F",10000,5000,"52",17
"Midwest","Plains",1997,288,3,"NotNew",0,0,"Undefined","0",422000,"P I F",422000,316500,"00",25
"Midwest","Northeast",2005,29,4,"NotNew",0,0,"Urban","Y",19831,"CHGOFF",5000,2500,"81",17
"Pacific West","Pacific West",1997,240,1,"NotNew",0,0,"Undefined","N",268000,"P I F",268000,268000,"33",25
"Northeast","Southeast",2005,84,5,"NotNew",0,0,"Urban","Y",1e+05,"P I F",1e+05,50000,"44",17
"Southeast","Northeast",2005,57,9,"NotNew",0,0,"Urban","N",150000,"CHGOFF",150000,75000,"81",17
"Pacific West","Pacific West",2005,120,4,"New",0,5,"Rural","N",170300,"P I F",170300,85150,"44",17
"Northeast","Northeast",2005,53,2,"New",0,2,"Urban","Y",10000,"P I F",10000,5000,"44",17
"Northeast","Southeast",2005,68,7,"NotNew",0,7,"Urban","0",18000,"CHGOFF",18000,9000,"72",17
"Pacific West","Southeast",2005,84,3,"New",0,3,"Urban","Y",11000,"P I F",10000,5000,"81",17
"Plains","Midwest",2005,27,0,"NotNew",0,10,"Urban","N",1e+05,"CHGOFF",1e+05,50000,"72",17
"Northeast","Southeast",2005,84,4,"New",0,6,"Urban","Y",5500,"P I F",5000,2500,"42",17
"Northeast","Northeast",2005,84,3,"NotNew",0,3,"Urban","Y",25100,"P I F",25000,12500,"52",17
"Northeast","Northeast",2005,36,2,"New",0,2,"Urban","Y",51000,"P I F",41000,20500,"62",17
"Pacific West","Pacific West",2005,60,1,"New",1,2,"Urban","N",90000,"P I F",90000,76500,"42",17
"Pacific West","Southeast",2005,84,7,"NotNew",0,7,"Urban","Y",44634,"P I F",35000,17500,"54",17
"Southeast","Plains",2005,13,7,"NotNew",1,7,"Urban","N",148000,"CHGOFF",148000,74000,"52",17
"Pacific West","Southeast",2005,10,5,"NotNew",0,5,"Urban","Y",40803,"CHGOFF",20000,10000,"72",17
"Northeast","Northeast",2005,84,2,"NotNew",0,2,"Urban","N",4418,"P I F",5000,2500,"81",17
"Southeast","Southeast",1997,180,14,"New",0,0,"Undefined","N",330000,"P I F",330000,247500,"00",25
"Northeast","Southeast",2005,84,1,"New",1,1,"Urban","Y",73374,"P I F",30000,15000,"54",17
"Plains","Southeast",2005,1,22,"NotNew",2,5,"Urban","Y",127976,"CHGOFF",70000,35000,"56",17
"Northeast","Northeast",2005,84,1,"NotNew",1,2,"Urban","N",50,"",25000,12500,"53",17
"Northeast","Northeast",2005,60,3,"NotNew",0,3,"Urban","N",50000,"P I F",50000,25000,"23",17
"Midwest","Northeast",2005,11,1,"New",0,4,"Urban","Y",209695,"P I F",1e+05,50000,"54",17
"Midwest","Northeast",2005,84,1,"NotNew",0,1,"Urban","N",5000,"P I F",5000,2500,"81",17
"Midwest","Northeast",2005,28,1,"NotNew",0,1,"Urban","Y",1e+05,"CHGOFF",1e+05,50000,"42",17
"Pacific West","Southeast",2005,84,4,"New",1,4,"Urban","Y",15036,"P I F",10000,5000,"61",17
"Pacific West","Pacific West",1997,84,3,"NotNew",0,0,"Undefined","0",80000,"P I F",80000,64000,"71",25
"Southeast","Southeast",2005,84,1,"NotNew",0,1,"Rural","0",102500,"P I F",1e+05,50000,"54",17
"Northeast","Northeast",2005,90,4,"NotNew",1,4,"Urban","N",50000,"P I F",50000,25000,"81",17
"Northeast","Midwest",1997,36,4,"NotNew",0,0,"Undefined","Y",50000,"P I F",50000,25000,"62",25
"Midwest","Northeast",2005,84,1,"NotNew",0,1,"Urban","N",15000,"P I F",15000,7500,"54",17
"Plains","Plains",2006,120,3,"NotNew",1,3,"Rural","0",110400,"P I F",110400,93840,"23",16
"Plains","Southeast",2005,20,11,"NotNew",0,11,"Rural","Y",97189,"CHGOFF",75000,37500,"44",17
"Plains","Plains",2006,60,6,"NotNew",0,6,"Rural","Y",96458,"P I F",40000,20000,"33",16
"Pacific West","Pacific West",2005,60,4,"NotNew",0,4,"Urban","Y",1e+05,"P I F",1e+05,50000,"23",17
"Midwest","Northeast",2005,84,1,"NotNew",0,1,"Urban","Y",5000,"P I F",5000,2500,"23",17
"Northeast","Southeast",2005,84,1,"New",0,1,"Urban","Y",10000,"P I F",10000,5000,"54",17
"Northeast","Northeast",1997,120,1,"NotNew",0,0,"Undefined","N",55000,"P I F",55000,44000,"23",25
"Pacific West","Northeast",2005,42,12,"NotNew",0,12,"Urban","N",25000,"CHGOFF",25000,12500,"44",17
"Northeast","Southeast",2005,84,6,"New",2,6,"Urban","Y",13472,"P I F",10000,5000,"81",17
"Northeast","Southeast",1997,60,4,"New",0,0,"Undefined","N",11000,"P I F",11000,8800,"00",25
"Northeast","Northeast",2005,84,1,"NotNew",1,1,"Urban","N",25000,"P I F",25000,12500,"54",17
"Plains","Plains",1997,240,2,"NotNew",0,0,"Undefined","0",202000,"P I F",202000,151500,"54",25
"Northeast","Northeast",2005,84,3,"NotNew",0,3,"Urban","N",100,"",10000,5000,"72",17
"Plains","Southeast",1997,240,6,"NotNew",0,0,"Undefined","0",153400,"P I F",153400,115050,"00",25
"Pacific West","Southeast",2005,84,1,"New",0,1,"Urban","N",10000,"P I F",10000,5000,"54",17
"Midwest","Midwest",2005,66,15,"New",0,0,"Urban","N",76300,"P I F",76300,38150,"72",17
"Northeast","Northeast",1997,72,3,"New",0,0,"Undefined","N",2e+05,"P I F",2e+05,150000,"00",25
"Midwest","Midwest",2005,60,7,"New",1,0,"Urban","N",140000,"P I F",140000,105000,"23",17
"Midwest","Northeast",2005,60,5,"NotNew",0,5,"Urban","Y",113763,"P I F",1e+05,50000,"44",17
"Pacific West","Southeast",2005,84,2,"NotNew",0,2,"Rural","Y",10000,"P I F",10000,5000,"42",17
"Plains","Plains",1997,69,2,"New",0,0,"Undefined","N",45000,"CHGOFF",45000,36000,"42",25
"Southeast","Southeast",2005,84,1,"New",0,1,"Urban","Y",10000,"P I F",10000,5000,"42",17
"Northeast","Northeast",1997,60,3,"NotNew",0,0,"Undefined","N",50000,"P I F",50000,40000,"54",25
"Northeast","Northeast",2005,60,5,"New",0,5,"Urban","Y",278409,"P I F",1e+05,50000,"52",17
"Plains","Plains",2006,120,2,"New",1,4,"Urban","0",331664,"P I F",339500,254625,"42",16
"Plains","Northeast",2005,63,3,"NotNew",1,3,"Urban","N",35000,"CHGOFF",35000,17500,"23",17
"Northeast","Midwest",2005,84,12,"NotNew",0,12,"Urban","Y",141484,"P I F",75000,37500,"44",17
"Pacific West","Southeast",2005,84,3,"NotNew",0,3,"Urban","Y",34855,"P I F",15000,7500,"81",17
"Southeast","Southeast",2005,60,4,"NotNew",1,5,"Urban","0",50000,"CHGOFF",50000,25000,"81",17
"Pacific West","Southeast",2005,19,10,"NotNew",0,10,"Urban","Y",134911,"CHGOFF",1e+05,50000,"42",17
"Northeast","Northeast",1997,120,7,"NotNew",0,0,"Undefined","N",1e+05,"P I F",1e+05,80000,"44",25
"Pacific West","Southeast",2005,59,3,"NotNew",1,3,"Urban","0",57488,"CHGOFF",50000,25000,"54",17
"Midwest","Northeast",2005,84,1,"NotNew",0,1,"Urban","Y",20000,"P I F",20000,10000,"48",17
"Northeast","Southeast",2005,84,1,"New",0,1,"Urban","Y",10000,"P I F",10000,5000,"54",17
"Midwest","Midwest",2005,84,3,"New",0,8,"Urban","Y",54620,"P I F",50000,25000,"23",17
"Northeast","Northeast",2005,84,1,"New",0,1,"Urban","N",75000,"P I F",75000,37500,"56",17
"Northeast","Northeast",2006,12,4,"NotNew",0,4,"Urban","Y",50000,"P I F",50000,25000,"45",16
"Northeast","Midwest",2005,84,1,"NotNew",0,1,"Urban","N",50000,"P I F",50000,25000,"42",17
"Pacific West","Pacific West",1997,84,3,"New",0,0,"Undefined","N",50000,"P I F",50000,40000,"00",25
"Midwest","Northeast",2005,84,3,"NotNew",0,3,"Urban","N",2000,"",2000,1000,"23",17
"Northeast","Northeast",2005,36,4,"New",0,4,"Urban","Y",10000,"P I F",10000,5000,"54",17
"Plains","Plains",1997,60,3,"New",0,0,"Undefined","N",5e+05,"P I F",5e+05,375000,"62",25
"Southeast","Northeast",2005,69,5,"NotNew",1,5,"Urban","N",35000,"CHGOFF",35000,17500,"33",17
"Midwest","Northeast",2005,21,1,"NotNew",1,1,"Urban","N",25000,"CHGOFF",25000,12500,"56",17
"Pacific West","Southeast",2005,84,2,"New",0,2,"Urban","Y",13486,"P I F",10000,5000,"42",17
"Northeast","Northeast",2005,84,1,"NotNew",0,1,"Urban","N",30000,"P I F",30000,15000,"45",17
"Plains","Plains",1978,180,4,"NotNew",0,0,"Undefined","N",84000,"CHGOFF",84000,75600,"00",44
"Plains","Plains",1997,60,3,"NotNew",0,0,"Rural","N",163700,"P I F",163700,122775,"00",25
"Midwest","Northeast",2005,84,2,"NotNew",0,2,"Urban","N",23000,"P I F",23000,11500,"54",17
"Northeast","Northeast",2005,84,3,"NotNew",0,3,"Urban","N",50000,"P I F",50000,25000,"56",17
"Pacific West","Pacific West",2006,84,2,"New",1,2,"Urban","0",5000,"P I F",5000,4250,"44",16
"Midwest","Northeast",2005,84,16,"NotNew",2,15,"Urban","Y",2940,"",2000,1000,"61",17
"Midwest","Northeast",2005,39,5,"NotNew",1,5,"Urban","N",50000,"CHGOFF",50000,25000,"52",17
"Northeast","Northeast",2005,84,6,"NotNew",0,6,"Urban","N",50000,"P I F",50000,25000,"81",17
"Pacific West","Southeast",2005,38,10,"NotNew",0,10,"Urban","N",103600,"CHGOFF",75000,37500,"54",17
"Pacific West","Pacific West",1997,84,5,"NotNew",0,0,"Undefined","0",184500,"P I F",184500,138375,"00",25
"Midwest","Northeast",2005,53,4,"NotNew",0,4,"Urban","Y",46328,"CHGOFF",25000,12500,"23",17
"Pacific West","Midwest",2006,84,10,"NotNew",2,8,"Urban","0",603500,"P I F",603500,452625,"42",16
"Pacific West","Pacific West",1997,119,2,"NotNew",0,0,"Undefined","N",174000,"P I F",174000,130500,"71",25
"Pacific West","Southeast",2005,84,5,"New",0,5,"Urban","Y",29200,"P I F",10000,5000,"54",17
"Southeast","Northeast",2005,90,5,"NotNew",1,5,"Urban","N",125000,"P I F",125000,62500,"54",17
"Midwest","Northeast",2005,84,1,"NotNew",0,1,"Urban","N",38000,"P I F",38000,19000,"44",17
"Midwest","Midwest",2006,72,6,"New",0,0,"Rural","N",324000,"P I F",324000,243000,"23",16
"Plains","Southeast",2005,36,3,"NotNew",0,3,"Urban","N",50000,"CHGOFF",50000,25000,"44",17
"Pacific West","Pacific West",1997,60,6,"New",0,0,"Undefined","N",41100,"P I F",41100,32880,"00",25
"Southeast","Southeast",2005,84,2,"New",0,2,"Urban","N",450000,"CHGOFF",560000,420000,"72",17
"Northeast","Northeast",2005,60,1,"NotNew",0,1,"Urban","N",20000,"P I F",20000,10000,"23",17
"Northeast","Northeast",2005,60,5,"NotNew",0,5,"Rural","N",70000,"P I F",70000,35000,"45",17
"Northeast","Southeast",2005,6,1,"NotNew",0,1,"Rural","Y",29143,"P I F",10000,5000,"23",17
"Pacific West","Pacific West",2005,2,0,"NotNew",1,1,"Urban","Y",53241,"CHGOFF",50000,25000,"44",17
"Midwest","Midwest",1997,84,3,"NotNew",0,0,"Undefined","N",227000,"P I F",227000,170250,"33",25
"Southeast","Southeast",1997,120,4,"NotNew",0,0,"Undefined","N",90000,"P I F",90000,72000,"81",25
"Northeast","Northeast",2005,84,1,"New",0,1,"Rural","Y",177404,"P I F",50000,25000,"42",17
"Southeast","Plains",2005,84,2,"NotNew",0,2,"Urban","N",20000,"P I F",20000,17000,"54",17
"Northeast","Northeast",1997,90,12,"New",0,0,"Undefined","0",490000,"P I F",490000,367500,"00",25
"Northeast","Northeast",2005,83,1,"New",0,1,"Urban","Y",11000,"P I F",11000,5500,"23",17
"Midwest","Northeast",2005,84,3,"NotNew",0,5,"Urban","Y",5000,"P I F",5000,2500,"42",17
"Midwest","Midwest",2005,41,4,"NotNew",0,3,"Rural","Y",25000,"CHGOFF",25000,21250,"72",17
"Northeast","Northeast",2005,84,3,"NotNew",0,3,"Rural","N",125000,"P I F",125000,62500,"52",17
"Southeast","Southeast",1997,180,6,"NotNew",0,0,"Undefined","0",5e+05,"P I F",5e+05,375000,"00",25
"Pacific West","Pacific West",2005,84,2,"NotNew",0,2,"Rural","Y",67799,"P I F",30000,15000,"44",17
"Plains","Northeast",2005,84,5,"NotNew",0,5,"Urban","N",15000,"P I F",15000,7500,"53",17
"Northeast","Northeast",2005,36,1,"NotNew",0,1,"Rural","Y",19436,"P I F",5000,2500,"48",17
"Plains","Plains",1997,84,11,"New",0,0,"Undefined","N",1e+05,"P I F",1e+05,80000,"00",25
"Northeast","Northeast",2005,84,20,"NotNew",0,0,"Rural","Y",70772,"P I F",40000,20000,"72",17
"Northeast","Northeast",2005,83,4,"NotNew",0,4,"Urban","Y",203000,"P I F",2e+05,1e+05,"54",17
"Pacific West","Pacific West",1997,1,22,"NotNew",0,0,"Undefined","N",365000,"P I F",365000,273750,"00",25
"Northeast","Plains",1997,84,15,"NotNew",0,0,"Undefined","0",60000,"P I F",60000,48000,"00",25
"Pacific West","Northeast",2005,35,2,"NotNew",0,2,"Urban","Y",98122,"CHGOFF",35000,17500,"54",17
"Southeast","Southeast",2005,1,4,"NotNew",0,4,"Urban","Y",410084,"CHGOFF",1e+05,50000,"54",17
"Northeast","Northeast",1997,12,1,"NotNew",0,0,"Undefined","Y",35000,"P I F",35000,17500,"45",25
"Northeast","Northeast",2005,84,5,"New",0,5,"Urban","Y",230499,"P I F",1e+05,50000,"42",17
"Northeast","Northeast",1997,66,10,"New",0,0,"Undefined","N",1e+05,"P I F",1e+05,80000,"54",25
"Midwest","Midwest",1997,180,11,"NotNew",0,0,"Urban","N",65000,"P I F",65000,52000,"00",25
"Pacific West","Southeast",2005,28,2,"NotNew",0,2,"Urban","Y",25869,"CHGOFF",15000,7500,"52",17
"Midwest","Midwest",2005,84,8,"NotNew",0,8,"Urban","N",84537,"P I F",85000,42500,"54",17
"Midwest","Plains",1997,84,2,"NotNew",0,0,"Undefined","0",205000,"P I F",205000,153750,"62",25
"Pacific West","Pacific West",1997,84,2,"NotNew",0,0,"Undefined","0",436500,"P I F",436500,327375,"62",25
"Northeast","Northeast",2005,84,3,"NotNew",0,3,"Urban","N",30000,"P I F",30000,15000,"44",17
"Southeast","Southeast",2005,60,1,"New",0,1,"Rural","N",20400,"P I F",20400,10200,"54",17
"Midwest","Midwest",2005,50,0,"New",1,0,"Urban","Y",20400,"CHGOFF",15000,7500,"44",17
"Pacific West","Southeast",2005,84,15,"NotNew",0,15,"Urban","Y",40000,"P I F",40000,20000,"54",17
"Pacific West","Southeast",2005,84,2,"New",0,2,"Urban","Y",5000,"P I F",5000,2500,"62",17
"Pacific West","Pacific West",1997,84,2,"New",0,0,"Undefined","0",50000,"P I F",50000,40000,"00",25
"Southeast","Southeast",1997,12,16,"NotNew",0,0,"Undefined","N",45000,"P I F",45000,33750,"00",25
